"Story","Title","Result","Date","Stability","Duration (s)"
"Get single user","Get single user with valid id","SUCCESS","2023-05-22T16:51:50.47+07:00[Asia/Bangkok]","0.0","1.29"
"Get single user","Get single user with invalid ig","FAILURE","2023-05-22T16:51:51.77+07:00[Asia/Bangkok]","0.0","3.5"
"Get single user","Get single user with invalid id","SUCCESS","2023-05-22T16:51:55.283+07:00[Asia/Bangkok]","0.0","1.58"
"Get single user","Get single user resource with valid id","SUCCESS","2023-05-22T16:51:56.885+07:00[Asia/Bangkok]","0.0","2.35"
"Get single user","Get single user resource with invalid id","SUCCESS","2023-05-22T16:51:59.243+07:00[Asia/Bangkok]","0.0","1.49"
